n_test,n_finite,R2,RMSE,MAE,Pearson,Spearman,Top20_precision,valid_prediction,model,evaluation,target_scale,repeat,split_name,n_support,n_query
21,21,-1.745735122902571e+26,2772222607360.5254,2772222607360.5254,,,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,3,random_repeated,83,21
21,21,-3.806179377179625e+50,5.360329594464569e+24,5.347137157937944e+24,0.5160270154212044,0.4176680960783648,0.4,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,3,random_repeated,83,21
21,21,0.12152973987402849,0.19665385202204497,0.14327226183548974,0.7010417592255501,0.6086392006616296,0.6,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,3,random_repeated,83,21
21,21,-0.9427612843449789,0.3829627988470111,0.3376522033164899,0.6474062130884226,0.5254953183940857,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,3,random_repeated,83,21
21,21,-2.031555533214667e+47,1.0365392975186812e+23,1.034022845829709e+23,0.5175402160061914,0.5155844155844156,0.2,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,4,random_repeated,83,21
21,21,-7.90909611659553e+20,7925112832.466575,7925112832.466575,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,4,random_repeated,83,21
21,21,-2.4585801859360886e+17,114028552.4739052,114028552.47390522,,,0.0,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,4,random_repeated,83,21
21,21,-2.245405425444045e+24,422269205634.911,420256961877.79987,-0.62873587333127,-0.6467532467532467,0.0,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,4,random_repeated,83,21
21,21,-4.014190637259026e+25,1457036460032.4739,1457036460032.4739,,,0.0,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,4,random_repeated,83,21
21,21,-5.0668369845099054e+51,2.0059056119244607e+25,2.0026554419963687e+25,0.5142174941564738,0.5194805194805194,0.2,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,4,random_repeated,83,21
21,21,0.35288594020111785,0.18499578802429767,0.13817344455695682,0.6542395879695334,0.6571428571428571,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,4,random_repeated,83,21
21,21,0.17163589047219874,0.2564795035734099,0.2089145076239393,0.6524755220007576,0.6493506493506493,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,4,random_repeated,83,21
21,21,-5.951376642279582e+21,16664863744.479427,16664863744.4637,-0.2524620266001045,-0.25849213105659874,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,5,random_repeated,83,21
21,21,-9.418947120699428e+21,27622118741.809788,27622118741.798992,-0.25360961422605593,-0.25849213105659874,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,5,random_repeated,83,21
21,21,-2.2180649386954712e+36,3.217215686075525e+17,3.2118752627494874e+17,0.5482795338322876,0.5064935064935064,0.4,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,5,random_repeated,83,21
21,21,-1.3390909192317968e+40,3.293524064476402e+19,3.2882161447174906e+19,0.5592329534422187,0.5948051948051949,0.4,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,5,random_repeated,83,21
21,21,-2.474280504074421e+53,1.0745274527795282e+26,1.0727198092149158e+26,0.58408732442683,0.5675324675324676,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,5,random_repeated,83,21
21,21,-1.1197355028306701e+26,3011712647168.466,3011712647168.4663,,,0.0,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,5,random_repeated,83,21
21,21,-1.1224458672774755,0.3147105922565587,0.27504086575957215,0.22043537122010742,0.17792207792207793,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,5,random_repeated,83,21
21,21,-0.03656892447571525,0.28977098760644165,0.24948075072218975,0.0861487091494654,0.1753246753246753,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,5,random_repeated,83,21
21,21,-1.0239990649702467e+23,66118267465.635735,66118267465.62699,0.12099945174485029,0.11078234188139947,0.2,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,6,random_repeated,83,21
21,21,-1.0517987710388207e+18,276796028.08052444,276796027.9235348,0.10773509063275487,0.11078234188139947,0.2,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,6,random_repeated,83,21
21,21,-2.7126351223051846e+36,3.4030425177558163e+17,3.3953026889854234e+17,0.6369899048504448,0.5943488458968955,0.4,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,6,random_repeated,83,21
21,21,-5.18346155893214e+39,1.943137196821666e+19,1.9392795973516014e+19,0.6656510256885408,0.5982462153781867,0.4,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,6,random_repeated,83,21
21,21,-9.151018900033449e+52,6.250379848301839e+25,6.2357968354660045e+25,0.6649972554177996,0.6177330627846422,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,6,random_repeated,83,21
21,21,-2.713406869274817e+54,4.445810880790148e+26,4.4356581914922746e+26,0.6060428246127624,0.4826242540998834,0.4,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,6,random_repeated,83,21
21,21,0.27336475661158055,0.1761286125959062,0.1437066685191853,0.6479420106690752,0.6229295554263637,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,6,random_repeated,83,21
21,21,-8.077858143761464,0.813177250532992,0.7776892411389521,0.5820540919970181,0.5241961952336553,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,6,random_repeated,83,21
21,21,-2.0992307848215886e+24,330003841024.4818,330003841024.48193,,,0.2,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,7,random_repeated,83,21
21,21,-2.548927331555163e+21,15391149056.494505,15391149056.494503,,,0.2,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,7,random_repeated,83,21
21,21,-9.411381909706728e+36,6.987399913004998e+17,6.968618928392609e+17,0.505560163160854,0.5116883116883117,0.2,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,7,random_repeated,83,21
21,21,-8.416898742249076e+17,279684480.4945055,279684480.4945055,,,0.2,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,7,random_repeated,83,21
21,21,-3.743895143010213e+53,1.3936404396411137e+26,1.3902148424270054e+26,0.5034123601190704,0.5103896103896104,0.2,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,7,random_repeated,83,21
21,21,-2.85172456827052e+53,1.6279689060088285e+26,1.6231002692616038e+26,0.4773561313771787,0.5103896103896104,0.2,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,7,random_repeated,83,21
21,21,0.23946161690912704,0.1986321164270838,0.15217931244010208,0.6580354120698279,0.57486199849044,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,7,random_repeated,83,21
21,21,-3.0627263625627412,0.6144705925521156,0.5562534279943931,0.6013702021896604,0.6220779220779221,0.0,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,7,random_repeated,83,21
21,21,-5.9487348044657675e+23,217596346368.50824,217596346368.50827,,,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,8,random_repeated,83,21
21,21,-1.0836881416167046e+18,364472352.5032051,364472352.5032052,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,8,random_repeated,83,21
21,21,-4.318451649412697e+18,586277632.5082629,586277632.508263,,,0.0,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,8,random_repeated,83,21
21,21,-1.638435756223349e+18,448153856.50320506,448153856.50320506,,,0.0,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,8,random_repeated,83,21
21,21,-3.900904876679061e+52,5.57213942581919e+25,5.5631805630435535e+25,0.7255013598434398,0.7515427483089705,0.4,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,8,random_repeated,83,21
21,21,-2.784467976234998e+54,5.8422958176299935e+26,5.835614030379007e+26,0.676172959059276,0.6632023733997053,0.4,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,8,random_repeated,83,21
21,21,-0.0742608554420876,0.29241131251229696,0.2529513727859903,0.023206478634337432,-0.06493506493506493,0.2,True,supervised_ann,B_fewshot_adapt_support_to_query,raw_inhouse_target,8,random_repeated,83,21
21,21,0.5049205739745264,0.24634846969857602,0.20217289052726256,0.7966850639866672,0.7688311688311688,0.4,True,supervised_ann,B_fewshot_adapt_support_to_query,inhouse_percentile,8,random_repeated,83,21
21,21,-7.740693724696746e+22,62634885120.43947,62634885120.43947,,,0.0,True,maml,B_fewshot_adapt_support_to_query,raw_inhouse_target,9,random_repeated,83,21
21,21,-4.203359132974484e+21,19017365504.441853,19017365504.441853,,,0.0,True,maml,B_fewshot_adapt_support_to_query,inhouse_percentile,9,random_repeated,83,21
21,21,-4.8111135308227226e+17,156152573.405815,156152573.39184636,0.19692827003220456,0.14770978917519928,0.0,True,fomaml,B_fewshot_adapt_support_to_query,raw_inhouse_target,9,random_repeated,83,21
21,21,-1.8591682140711452e+16,39995529.207308635,39995529.20375459,0.19825702507709983,0.14770978917519928,0.0,True,fomaml,B_fewshot_adapt_support_to_query,inhouse_percentile,9,random_repeated,83,21
21,21,-2.7791270151145604e+26,3753017081856.4395,3753017081856.439,,,0.0,True,metasgd,B_fewshot_adapt_support_to_query,raw_inhouse_target,9,random_repeated,83,21
21,21,-9.21842923204245e+53,2.8163107167355532e+26,2.809534413035351e+26,0.7947035090503497,0.7870129870129869,0.6,True,metasgd,B_fewshot_adapt_support_to_query,inhouse_percentile,9,random_repeated,83,21
