model,R2,RMSE,MAE,Spearman,Pearson,Top20_recall,Fold_R2_mean,Fold_R2_std,Fold_RMSE_mean,Fold_RMSE_std,Fold_Spearman_mean,Fold_Spearman_std,Mean_overfit_gap,stage,stage_order,included_rounds,n_samples,n_formulation_groups
PrimaryTreeEnsemble,0.4548115283760046,0.09051433348048936,0.07283454959940477,0.6444938820912125,0.6774007936049202,0.6666666666666666,,,,,,,,R1,1,R1,30,30
PrimaryTreeEnsemble,0.44231936183814113,0.14898358689054106,0.11942677037264114,0.644771018455229,0.6656663268082157,0.4166666666666667,,,,,,,,R1+R2,2,"R1,R2",56,56
PrimaryTreeEnsemble,0.5617947301864805,0.128422182280374,0.10711412344801297,0.7267103388086125,0.7500719697914269,0.47058823529411764,,,,,,,,R1+R2+R3,3,"R1,R2,R3",84,78
PrimaryTreeEnsemble,0.6986419313595296,0.12114723764352582,0.10036531787187195,0.8249913981481356,0.8386723831652008,0.6190476190476191,,,,,,,,R1+R2+R3+R4,4,"R1,R2,R3,R4",104,97
