model,R2,RMSE,MAE,Spearman,Pearson,Top20_recall,Fold_R2_mean,Fold_R2_std,Fold_RMSE_mean,Fold_RMSE_std,Fold_Spearman_mean,Fold_Spearman_std,Mean_overfit_gap
XGBoost,0.7043430011102771,0.11999583886290457,0.09791989673712674,0.8345296110151829,0.8414524643303929,0.7142857142857143,0.6462826481869267,0.12682657080052817,0.12379042929738039,0.01878463610635408,0.8006329511800931,0.08605449497732134,0.27826624209594025
RandomForest,0.7036618601039109,0.12013398385136725,0.09854310087919098,0.8371862273506357,0.841789498574322,0.6666666666666666,0.6599028355698491,0.10065307282410194,0.12200323248204566,0.014357192884059644,0.8051341911418354,0.06592877277710919,0.2482669271120816
PrimaryTreeEnsemble,0.6986419313595296,0.12114723764352582,0.10036531787187195,0.8249913981481356,0.8386723831652008,0.6190476190476191,,,,,,,
GradientBoosting,0.6983766754331919,0.12120054292696018,0.09995318085398973,0.8330252620059506,0.8362593315792038,0.6666666666666666,0.6385504981522654,0.1352161924281751,0.12418442488598806,0.015717113722720142,0.797116303222884,0.08055430511242692,0.27966148864401974
HistGradientBoosting,0.6946439226443994,0.121948198218197,0.09948754916311661,0.8306460433601436,0.8338180718039483,0.6190476190476191,0.6296331891212259,0.12923265015369698,0.12649852337373096,0.016035008758274887,0.7975790070093411,0.08673884480791712,0.2866473665581063
LightGBM,0.6924225277982863,0.12239096688764317,0.10086287829842415,0.8264424014478207,0.8321428894124758,0.7142857142857143,0.6360991853381895,0.118414713692549,0.12582553987839312,0.014202809075869903,0.8032965322640617,0.07156416487733674,0.256424097347584
ExtraTrees,0.6556296028740093,0.12950454480856857,0.10569103339153446,0.7987026324832535,0.8116210373782418,0.6666666666666666,0.6008885522626062,0.1126954179960112,0.13219936933253232,0.01276884344673375,0.7774052868329149,0.07191803341131454,0.3083155324206626
Ridge,0.5184259609427777,0.15314528746114,0.12801453280543718,0.7206045137060878,0.7204380681440036,0.6666666666666666,0.44808363277234114,0.17026843157894997,0.15523895167383533,0.015094171084861028,0.6991389699852447,0.08751520189540193,0.22999096535357663
