sample_index,candidate_id,actual,predicted,prediction_sd_across_models,n_models,model
0,1,0.17543300459315367,0.29411465585934854,0.014357034382691944,3,PrimaryTreeEnsemble
1,3,0.24854383135427813,0.23979347420398336,0.02176557036541946,3,PrimaryTreeEnsemble
2,4,0.22500996167718212,0.2958272139114125,0.00852726504936754,3,PrimaryTreeEnsemble
3,5,0.25755472955208975,0.43348387458665655,0.03188008177772128,3,PrimaryTreeEnsemble
4,6,0.05517919651737015,0.2763507430628542,0.0095077893725751,3,PrimaryTreeEnsemble
5,7,0.3918458728545167,0.4291925107190382,0.01786238669046026,3,PrimaryTreeEnsemble
6,8,0.05271949038060156,0.2687893070308615,0.01707200311931338,3,PrimaryTreeEnsemble
7,9,0.17895376007702582,0.24998070135163555,0.009260797614027325,3,PrimaryTreeEnsemble
8,11,0.1459604384601472,0.22289545091950522,0.011942835301098442,3,PrimaryTreeEnsemble
9,12,0.04870502447660548,0.20480922979793328,0.003827178154617759,3,PrimaryTreeEnsemble
10,13,0.2580585765753896,0.24402124706572115,0.01630500428242732,3,PrimaryTreeEnsemble
11,14,0.1821063094077652,0.1872540203261167,0.02350942004847846,3,PrimaryTreeEnsemble
12,15,0.3353358208132731,0.26034812075671193,0.01732905582540715,3,PrimaryTreeEnsemble
13,16,0.17950464805909924,0.2593836142769762,0.013044114404071095,3,PrimaryTreeEnsemble
14,17,0.5160428222422133,0.42604143279097245,0.008156100425497921,3,PrimaryTreeEnsemble
15,18,0.31203121268996953,0.31683254484321766,0.020627977511414177,3,PrimaryTreeEnsemble
16,19,0.19256117908371134,0.2394618012683011,0.0217197688247843,3,PrimaryTreeEnsemble
17,20,0.144256165394459,0.13262525973727576,0.025283332194740386,3,PrimaryTreeEnsemble
18,22,0.34855167652482816,0.48916682028441777,0.0464637647196882,3,PrimaryTreeEnsemble
19,24,0.3461983072767217,0.3144382628212075,0.0046931512473686945,3,PrimaryTreeEnsemble
20,25,0.4214285945504745,0.3822919730057824,0.014506822578707612,3,PrimaryTreeEnsemble
21,26,0.4333989964776431,0.37894156424260067,0.011277404541152997,3,PrimaryTreeEnsemble
22,27,0.4548051993775042,0.5763845043990825,0.07690486671793689,3,PrimaryTreeEnsemble
23,28,0.36241321109052227,0.25928208463464114,0.0048691991146509435,3,PrimaryTreeEnsemble
24,29,0.3727133238498048,0.3250896052330768,0.0313639362742009,3,PrimaryTreeEnsemble
25,30,0.2336347620792336,0.27512435126998086,0.025863755166688183,3,PrimaryTreeEnsemble
26,31,0.3663625473378234,0.3276185756215472,0.01953888192542262,3,PrimaryTreeEnsemble
27,32,0.15802080318424067,0.22173135557798804,0.03917374167592881,3,PrimaryTreeEnsemble
28,33,0.14407134832857899,0.2412771781675287,0.033378337025769686,3,PrimaryTreeEnsemble
29,36,0.20460910817446104,0.31387230566827956,0.02966467949171311,3,PrimaryTreeEnsemble
30,R2-01,0.5986688106192481,0.49888518641459195,0.09455858343147086,3,PrimaryTreeEnsemble
31,R2-03,0.4373763137086527,0.5666800667784425,0.02341411848857774,3,PrimaryTreeEnsemble
32,R2-04,0.5724257036590981,0.7096604091733395,0.06229607342800246,3,PrimaryTreeEnsemble
33,R2-05,0.7717762173666799,0.5131057073673962,0.013766183699194265,3,PrimaryTreeEnsemble
34,R2-06,0.6705041576041141,0.4237974043320308,0.038570858093967236,3,PrimaryTreeEnsemble
35,R2-11,0.5867029210460343,0.4370371025700199,0.019327071058118945,3,PrimaryTreeEnsemble
36,R2-12,0.710397436998435,0.5686824564410409,0.06209234473668485,3,PrimaryTreeEnsemble
37,R2-16,0.6484163433607225,0.6187080828797359,0.010194067722866957,3,PrimaryTreeEnsemble
38,R2-17,0.7780698457067285,0.630245805820019,0.012570987991351054,3,PrimaryTreeEnsemble
39,R2-18,0.7565851086119532,0.6359153549363645,0.020779800013035393,3,PrimaryTreeEnsemble
40,R2-19,0.7737047744199761,0.6170950867186948,0.05402136094436863,3,PrimaryTreeEnsemble
41,R2-20,0.6377319120803782,0.538610095053811,0.04133135109215727,3,PrimaryTreeEnsemble
42,R2-21,0.34320990214036895,0.5005154051123615,0.025836118320796637,3,PrimaryTreeEnsemble
43,R2-22,0.6136297737764471,0.402344846952627,0.021563815303093738,3,PrimaryTreeEnsemble
44,R2-24,0.3351209588605774,0.46699948399610386,0.009247294089139548,3,PrimaryTreeEnsemble
45,R2-26,0.4187199636438257,0.4808317613440755,0.017405484793012283,3,PrimaryTreeEnsemble
46,R2-27,0.45488662083509573,0.43574983925679783,0.053609033753511684,3,PrimaryTreeEnsemble
47,R2-28,0.6273633871473753,0.7582402858372307,0.012783422213242475,3,PrimaryTreeEnsemble
48,R2-31,0.2181523323074733,0.3955124797494292,0.018955076329693246,3,PrimaryTreeEnsemble
49,R2-32,0.3796880137703043,0.5697310935529106,0.019568916131728745,3,PrimaryTreeEnsemble
50,R2-34,0.4957022938993934,0.4343926902792196,0.04070816965400748,3,PrimaryTreeEnsemble
51,R2-35,0.43570277181186456,0.5452388936014052,0.013061053221915095,3,PrimaryTreeEnsemble
52,R2-36,0.21752824156773537,0.45793790580175636,0.03845967910117334,3,PrimaryTreeEnsemble
53,R2-38,0.16259722477569558,0.4723458687876709,0.045813297835916617,3,PrimaryTreeEnsemble
54,R2-39,0.33212902834350305,0.457248185563468,0.07040492301945656,3,PrimaryTreeEnsemble
55,R2-40,0.5083043320121892,0.4433095272439247,0.04465190018181649,3,PrimaryTreeEnsemble
56,R3-01,0.676069693879939,0.6546350647698364,0.027090433236933494,3,PrimaryTreeEnsemble
57,R3-02,0.5743264118541962,0.6239026983325021,0.02068382311899682,3,PrimaryTreeEnsemble
58,R3-03,0.5619024690394058,0.6316097354469373,0.009891876113265008,3,PrimaryTreeEnsemble
59,R3-04,0.5928021876040668,0.5750717041110255,0.019220342226509844,3,PrimaryTreeEnsemble
60,R3-05,0.5483164824186075,0.6587268666299271,0.01659831824799786,3,PrimaryTreeEnsemble
61,R3-06,0.5956170942280743,0.6028966526282766,0.009213174920991326,3,PrimaryTreeEnsemble
62,R3-07,0.5763148594927118,0.603126836535062,0.015140413991920313,3,PrimaryTreeEnsemble
63,R3-08,0.6431797726779321,0.5668031254092011,0.024699718017334372,3,PrimaryTreeEnsemble
64,R3-09,0.7521443277543998,0.5889006963460314,0.040782740394551854,3,PrimaryTreeEnsemble
65,R3-10,0.7257684721288807,0.6806551281542711,0.014965917912230977,3,PrimaryTreeEnsemble
66,R3-11,0.7681532100647782,0.7038994579670704,0.006329313099314425,3,PrimaryTreeEnsemble
67,R3-12,0.6704965744838094,0.6496205042728971,0.034898403573589594,3,PrimaryTreeEnsemble
68,R3-13,0.6528309468621716,0.6738222537143651,0.040833838709505355,3,PrimaryTreeEnsemble
69,R3-14,0.4818535458193168,0.6499351292369641,0.004625055421308277,3,PrimaryTreeEnsemble
70,R3-15,0.388970664414875,0.42834355909337335,0.03032256442872386,3,PrimaryTreeEnsemble
71,R3-16,0.326655938295472,0.4230383651895447,0.024161060236833027,3,PrimaryTreeEnsemble
72,R3-17,0.3423540191403134,0.4576642407228559,0.02895776616230112,3,PrimaryTreeEnsemble
73,R3-18,0.4566549309911151,0.6186822621328952,0.013031744482240504,3,PrimaryTreeEnsemble
74,R3-19,0.4678666126095594,0.37894156424260067,0.011277404541152997,3,PrimaryTreeEnsemble
75,R3-20,0.589140108951609,0.43020049655313675,0.010783180168996279,3,PrimaryTreeEnsemble
76,R3-21,0.46415337042920773,0.4953435035696783,0.03499527738234863,3,PrimaryTreeEnsemble
77,R3-22,0.3714065405003823,0.49585851706651446,0.011798546376095521,3,PrimaryTreeEnsemble
78,R3-23,0.4474676542283091,0.4789010700726226,0.01839965434356323,3,PrimaryTreeEnsemble
79,R3-24,0.6238685646716786,0.630245805820019,0.012570987991351054,3,PrimaryTreeEnsemble
80,R3-25,0.6228757010479955,0.7582402858372307,0.012783422213242475,3,PrimaryTreeEnsemble
81,R3-26,0.512433318744358,0.402344846952627,0.021563815303093738,3,PrimaryTreeEnsemble
